city,hw_score,hw_evidence,sw_score,sw_evidence,human_score,human_evidence,org_score,org_evidence,avg_score
거제시,3,디지털 트윈 서비스(디지털트윈),3,AI 실운영 서비스 6건,2,(스마트도시 - MD 기술),1,스마트도시계획 수립,2.2
경산시,2,데이터 통합플랫폼 서비스,3,AI 실운영 서비스 5건,1,전담부서 미확인,1,스마트도시계획 수립,1.8
경주시,2,주차정보통합플랫폼 (③-1),3,AI 실운영 서비스 3건,2,(스마트도시 - MD 기술),2,경주 시민행복제안 리빙랩 플랫폼 (④-1),2.2
계룡시,1,기본 IoT/CCTV 서비스,3,AI 실운영 서비스 4건,1,전담부서 미확인,1,스마트도시계획 수립,1.5
고령군,2,스마트시티 솔루션 확산사업(통합플랫폼),2,스마트시티 솔루션 확산사업(통합플랫폼),2,(스마트도시 - MD 기술),2,(리빙랩 - MD 기술),2.0
공주시,2,스마트 상황관제 및 주차정보(통합관제),3,AI 실운영 서비스 5건,2,도시정책과(22)/교통과(23-24),1,스마트도시계획 수립,2.0
과천시,2,④-7. 스마트 시설물 관리 플랫폼(통합운영센터),1,개별 서비스 운영,2,도시정책과,1,스마트도시계획 수립,1.5
광양시,1,기본 IoT/CCTV 서비스,3,AI 실운영 서비스 6건,2,(스마트도시 - MD 기술),1,스마트도시계획 수립,1.8
구리시,1,기본 IoT/CCTV 서비스,1,개별 서비스 운영,1,전담부서 미확인,1,스마트도시계획 수립,1.0
구미시,4,자율주행 로봇 및 농기계임대관리 서비스,3,AI 실운영 서비스 4건,2,미래도시전략과,2,시민참여 디지털 거버넌스 서비스(리빙랩),2.8
군포시,2,스마트 기반시설 통합 관리(통합운영센터),3,AI 실운영 서비스 4건,1,전담부서 미확인,1,스마트도시계획 수립,1.8
남원시,4,②-9. 친환경 자율주행 농기계 임대 서비스,3,AI 실운영 서비스 10건,2,(스마트도시 - MD 기술),1,스마트도시계획 수립,2.5
대구광역시,3,(디지털트윈 - MD 기술),3,AI 실운영 서비스 3건,1,전담부서 미확인,1,스마트도시계획 수립,2.0
부천시,2,스마트시티 통합플랫폼,3,AI 실운영 서비스 10건,2,스마트도시과,1,스마트도시계획 수립,2.0
사천시,4,수요응답형 자율주행 버스,3,AI 실운영 서비스 5건,1,전담부서 미확인,1,스마트도시계획 수립,2.2
산청군,2,CCTV 통합관제센터 구축(통합관제),2,스마트시티 통합플랫폼 구축(통합플랫폼),1,전담부서 미확인,1,스마트도시계획 수립,1.5
상주시,1,기본 IoT/CCTV 서비스,3,AI 실운영 서비스 6건,1,전담부서 미확인,1,스마트도시계획 수립,1.5
수원시,2,방범CCTV통합관제시스템,3,AI 실운영 서비스 8건,2,스마트도시과,1,스마트도시계획 수립,2.0
안양시,3,(디지털트윈 - MD 기술),1,개별 서비스 운영,2,스마트도시정보과,1,스마트도시계획 수립,1.8
양평군,3,양평군 디지털트윈기반 스마트 행정지원 및 대민서비스 확대,3,AI 실운영 서비스 4건,2,(스마트도시 - MD 기술),2,양평형 스마트도시 리빙랩 운영,2.5
여수시,4,자율주행 셔틀버스,3,AI 실운영 서비스 10건,2,스마트정보과,1,스마트도시계획 수립,2.5
옥천군,2,(통합관제 - MD 기술),2,데이터 허브 서비스(데이터허브),2,(스마트도시 - MD 기술),1,스마트도시계획 수립,1.8
울산광역시,4,C-ITS & 자율주행 셔틀버스 서비스 실증,3,AI 실운영 서비스 14건,2,(스마트도시 - MD 기술),1,스마트도시계획 수립,2.5
원주시,2,스마트 관광 전자지도(통합플랫폼),3,AI 실운영 서비스 3건,1,전담부서 미확인,1,스마트도시계획 수립,1.8
의왕시,4,데이터 기반 지능형 교통관리시스템(자율주행),3,AI 실운영 서비스 4건,2,도시정책과,2,의왕시민 리빙랩 플랫폼,2.8
정선군,1,기본 IoT/CCTV 서비스,1,개별 서비스 운영,1,전담부서 미확인,1,스마트도시계획 수립,1.0
제천시,2,제천 관광 통합플랫폼,2,제천 관광 통합플랫폼,2,스마트정보과,1,스마트도시계획 수립,1.8
진주시,2,스마트도시 통합플랫폼,3,AI 실운영 서비스 5건,2,스마트도시과,2,진주시민 혁신자클럽(리빙랩),2.2
청주시,4,초소형 전기차와 자율주행 기반 신모빌리티 서비스 (스마트시티 챌린지 사업),3,AI 실운영 서비스 10건,2,(스마트시티 - MD 기술),1,스마트도시계획 수립,2.5
충주시,3,산단지원 디지털트윈 플랫폼,3,AI 실운영 서비스 7건,2,(스마트도시 - MD 기술),2,시민 리빙랩 플랫폼,2.5
통영시,2,"CCTV 설치, 지능형선별관제시스템 증설, 드론활용 재난현장 측량시스템 구입, 드론 구입(",3,AI 실운영 서비스 5건,1,전담부서 미확인,1,스마트도시계획 수립,1.8
평택시,2,1-1-2. 탄소중립 통합플랫폼 구축사업,3,AI 실운영 서비스 4건,2,스마트도시과,2,4-1-1. 오프라인 시민리빙랩 추진,2.2
함안군,2,(통합플랫폼 - MD 기술),2,(통합플랫폼 - MD 기술),2,(스마트도시 - MD 기술),2,함안 리빙랩 플랫폼,2.0
해남군,4,스마트 영농지원 서비스(자율주행),3,AI 실운영 서비스 5건,2,(스마트시티 - MD 기술),1,스마트도시계획 수립,2.5
홍천군,3,(디지털트윈 - MD 기술),2,스마트도시 솔루션 확산사업(통합플랫폼),1,전담부서 미확인,1,스마트도시계획 수립,1.8
화성시,2,스마트시티 통합플랫폼,3,AI 실운영 서비스 3건,2,스마트도시과,1,스마트도시계획 수립,2.0
횡성군,3,디지털트윈 서비스,3,AI 실운영 서비스 5건,1,전담부서 미확인,2,군민참여 소통광장(리빙랩),2.2
