city,source_type,total_services,ai_keyword_count,ai_real_count,ai_real_ratio
거제시,이행실적,28,9,6,21.4
경산시,이행실적,18,4,5,27.8
경주시,이행실적,21,6,3,14.3
계룡시,이행실적,14,4,4,28.6
고령군,이행실적,1,0,0,0.0
공주시,이행실적,19,4,5,26.3
과천시,이행실적,24,0,1,4.2
광양시,이행실적,14,6,6,42.9
구리시,이행실적,8,2,2,25.0
구미시,이행실적,25,4,4,16.0
군포시,이행실적,17,4,4,23.5
남원시,이행실적,27,10,10,37.0
대구광역시,인증,111,3,3,2.7
부천시,인증,47,10,10,21.3
사천시,이행실적,27,6,5,18.5
산청군,이행실적,2,0,0,0.0
상주시,이행실적,22,6,6,27.3
수원시,인증,86,9,8,9.3
안양시,인증,48,1,1,2.1
양평군,이행실적,22,5,4,18.2
여수시,이행실적,18,10,10,55.6
옥천군,이행실적,28,2,1,3.6
울산광역시,이행실적,36,16,14,38.9
원주시,이행실적,15,3,3,20.0
의왕시,이행실적,9,4,4,44.4
정선군,이행실적,12,3,2,16.7
제천시,이행실적,20,2,2,10.0
진주시,이행실적,23,5,5,21.7
청주시,이행실적,30,12,10,33.3
충주시,이행실적,19,8,7,36.8
통영시,이행실적,17,5,5,29.4
평택시,이행실적,26,4,4,15.4
함안군,이행실적,22,1,2,9.1
해남군,이행실적,32,5,5,15.6
홍천군,이행실적,3,0,0,0.0
화성시,인증,39,3,3,7.7
횡성군,이행실적,25,5,5,20.0
