city,total,completed,in_progress,not_started,pre_completed,D01,D02,D03,D04,D05,D06,D07,completion_rate,exec_rate_avg
거제시,28,13,7,8,0,2,1,0,0,1,0,4,46.4,72.7
경산시,18,1,11,6,0,6,0,0,0,0,0,0,5.6,5.6
경주시,21,1,18,2,0,0,0,0,1,0,0,1,4.8,60.0
계룡시,14,8,3,3,0,0,0,0,1,0,1,1,57.1,103.9
고령군,1,1,0,0,0,0,0,0,0,0,0,0,100.0,89.6
공주시,19,7,4,8,0,4,0,0,0,1,0,3,36.8,88.6
과천시,24,11,2,9,2,0,2,0,0,5,2,0,54.2,91.4
광양시,14,2,6,6,0,1,0,0,0,0,5,0,14.3,51.2
구리시,8,7,1,0,0,0,0,0,0,0,0,0,87.5,97.7
구미시,25,13,12,0,0,0,0,0,0,0,0,0,52.0,68.1
군포시,17,6,2,9,0,7,0,1,0,1,0,0,35.3,84.5
남원시,27,13,4,10,0,1,0,2,0,3,0,4,48.1,86.7
사천시,27,2,6,18,0,6,0,0,0,4,8,1,7.4,12.8
산청군,2,2,0,0,0,0,0,0,0,0,0,0,100.0,94.5
상주시,22,1,7,14,0,0,0,0,0,0,14,0,4.5,49.6
양평군,22,5,9,8,0,4,0,1,0,0,2,1,22.7,40.7
여수시,18,3,5,10,0,2,0,0,0,2,4,2,16.7,18.2
옥천군,28,4,7,17,0,0,0,1,0,0,16,0,14.3,73.4
울산광역시,36,15,18,3,0,0,1,1,0,1,0,0,41.7,115.7
원주시,15,12,3,0,0,0,0,0,0,0,0,0,80.0,92.4
의왕시,9,6,3,0,0,0,0,0,0,0,0,0,66.7,70.6
정선군,12,4,5,3,0,3,0,0,0,0,0,0,33.3,76.8
제천시,20,0,11,9,0,1,0,0,0,0,8,0,0.0,14.6
진주시,23,3,16,4,0,0,0,0,0,3,0,1,13.0,33.5
청주시,30,12,6,12,0,0,0,0,0,5,7,0,40.0,50.6
충주시,19,1,8,10,0,0,0,0,0,0,10,0,5.3,13.8
통영시,17,9,7,1,0,0,0,0,0,1,0,0,52.9,88.6
평택시,26,7,11,8,0,3,0,1,0,2,2,0,26.9,59.4
함안군,22,13,6,3,0,0,0,0,0,0,3,0,59.1,319.4
해남군,32,11,8,13,0,4,0,8,0,0,0,1,34.4,77.5
홍천군,3,0,3,0,0,0,0,0,0,0,0,0,0.0,67.1
횡성군,25,0,0,25,0,0,0,0,25,0,0,0,0.0,0.0
