city,F01,F02,F03,F04,F05,F06,F07,F08,F09,F10,F11,total
거제시,1,11,2,5,4,1,1,2,1,0,0,28
경산시,4,0,0,5,4,0,0,4,0,1,0,18
경주시,2,3,2,4,3,0,0,3,0,4,0,21
계룡시,3,5,2,1,2,0,1,0,0,0,0,14
고령군,0,1,0,0,0,0,0,0,0,0,0,1
공주시,0,6,2,3,3,0,0,3,0,2,0,19
과천시,7,6,0,7,4,0,0,0,0,0,0,24
광양시,3,1,2,4,1,2,1,0,0,0,0,14
구리시,1,2,0,0,2,0,0,2,0,0,1,8
구미시,2,7,2,3,3,1,0,4,0,3,0,25
군포시,1,5,1,2,2,1,2,0,0,3,0,17
남원시,3,7,3,1,3,0,1,4,0,5,0,27
대구광역시,38,10,1,16,15,0,1,18,0,12,0,111
부천시,5,9,10,7,7,0,0,4,0,1,4,47
사천시,5,9,2,3,3,0,0,5,0,0,0,27
산청군,1,0,0,0,1,0,0,0,0,0,0,2
상주시,3,4,5,2,2,1,0,3,0,2,0,22
수원시,13,14,16,14,9,10,1,5,0,4,0,86
안양시,32,6,0,0,3,4,2,0,0,1,0,48
양평군,5,4,2,2,2,5,0,1,0,1,0,22
여수시,2,6,0,1,3,0,0,5,1,0,0,18
옥천군,2,6,4,3,2,0,3,3,0,5,0,28
울산광역시,5,6,4,6,4,0,0,3,0,8,0,36
원주시,0,4,2,1,4,1,0,3,0,0,0,15
의왕시,1,3,2,1,2,0,0,0,0,0,0,9
정선군,0,4,3,2,3,0,0,0,0,0,0,12
제천시,0,4,0,3,0,4,0,4,0,5,0,20
진주시,5,4,4,4,1,0,1,1,0,3,0,23
청주시,2,8,3,4,3,2,2,3,0,3,0,30
충주시,2,4,2,2,2,1,1,3,0,2,0,19
통영시,2,4,2,2,2,0,1,1,1,2,0,17
평택시,10,11,0,3,1,1,0,0,0,0,0,26
함안군,4,3,3,3,0,0,0,6,0,3,0,22
해남군,4,5,2,3,3,0,3,7,0,5,0,32
홍천군,0,2,1,0,0,0,0,0,0,0,0,3
화성시,18,6,1,5,5,0,0,0,0,4,0,39
횡성군,2,5,5,2,2,3,0,3,0,3,0,25
