city,smart_crosswalk,smart_pole,cctv,bus_stop,iot_sensor,ev_charger,robot,other_infra,total_infra
거제시,13,0,127,4,6,6989,2,668,7809
경산시,0,0,0,12,13,0,0,752,777
경주시,68,0,2,16,275,0,8,530,899
계룡시,0,0,1,4,0,204,35,59,303
고령군,59,0,0,0,0,0,0,59,118
공주시,0,0,313,0,0,0,0,60,373
과천시,0,0,0,0,220,0,0,0,220
광양시,0,0,0,0,0,0,0,37,37
구리시,0,0,215,0,0,0,0,0,215
구미시,72,8,0,24,0,0,0,122,226
군포시,34,0,29,25,400,0,0,71,559
남원시,3,0,106,4,0,0,0,3,116
대구광역시,250,0,16317,1577,210,0,0,18298,36652
부천시,0,0,1,0,369,0,34,279,683
사천시,5,0,41,20,0,0,0,51,117
산청군,0,0,0,0,0,0,0,0,0
상주시,0,0,40,0,1498,0,0,98,1636
수원시,0,0,17911,1103,0,0,0,11298,30312
안양시,0,0,7833,457,1672,0,0,4708,14670
양평군,0,0,0,95,0,0,0,1825,1920
여수시,7,3552,30,0,7,0,0,573,4169
옥천군,3,0,0,12,0,0,0,9,24
울산광역시,0,0,0,81,0,0,0,11,92
원주시,0,436,0,4,4010,0,22,204,4676
의왕시,18,0,257,0,0,0,12,24,311
정선군,0,0,16,8,9,0,0,55,88
제천시,8,0,0,0,31,0,0,9,48
진주시,0,0,708,15,538,0,0,2972,4233
청주시,0,0,50,10,6530,0,0,184,6774
충주시,0,0,51,0,130,0,100,0,281
통영시,40,0,120,30,0,0,135,27,352
평택시,32,0,532,133,0,0,0,123,820
함안군,0,0,113,2,0,0,0,210,325
해남군,3,0,0,0,0,0,1373,93,1469
홍천군,0,0,0,0,0,0,0,52,52
화성시,0,0,13017,2053,956,0,0,8779,24805
횡성군,0,0,0,0,400,0,0,24,424
